公司代號,公司簡稱,產業別,住址,發言人,實收資本額,已發行普通股數,Latitude,Longitude
2615,萬海,15,台北市松江路136號10樓,蘇麗梅,"$28,061,462,930","2,806,146,293",25.0531064,121.5327102
2616,山隆,23,新北市板橋區民生路一段1-2號1樓,蕭煒騰,"$1,372,818,270","137,281,827",25.0116328,121.476604
2617,台航,15,台北市濟南路二段29號2~6樓,仇忠林,"$4,172,944,870","417,294,487",25.0411578,121.5287295
2618,長榮航,15,桃園市蘆竹區新南路一段376號,陳耀銘,"$54,004,443,350","5,400,444,335",25.040288,121.297104
2630,亞航,15,台南市仁德區仁愛里機場路1050號,趙晉賢,"$2,094,382,040","209,438,204",22.9492925,120.2169364
2633,台灣高鐵,15,(11568)台北市南港區經貿二路66號13樓,鄒衡蕪,"$56,282,930,580","5,628,293,058",25.0571838,121.616376
2634,漢翔,15,台中市西屯區漢翔路1號,莊秀美,"$9,418,671,010","941,867,101",24.1851915,120.646323
2636,台驊控股,15,台北市信義區忠孝東路四段 563 號 12樓,王春英,"$1,418,352,300","141,835,230",25.0415888,121.5640499
2637,慧洋-KY,15,"Windward 3,Regatta Office Park,PO Box 1350,Grand Cayman KY1",薛亦駿,"$7,464,091,990","746,409,199",19.3402436,-81.3781774
2642,宅配通,15,241020新北市三重區神農街426號,廖浩廷,"$954,670,000","95,467,000",25.0569719,121.4739314
2645,長榮航太,15,桃園市大園區航站南路6號,謝新文,"$3,745,709,620","374,570,962",25.0660852,121.218951
2646,星宇航空,15,臺北市信義區忠孝東路四段525號11樓,梁文龍,"$30,087,350,000","3,008,735,000",25.0419554,121.5613451
2701,萬企,16,台北市峨嵋街52號,蔡茂昌,"$4,499,678,380","449,967,838",25.0329636,121.5654268
2702,華園,16,高雄市苓雅區四維三路6號23樓B室,涂慶昇,"$1,566,132,490","156,613,249",22.619908,120.311166
2704,國賓,16,臺北市中山區中山北路2段65巷9號2樓,林興國,"$3,669,233,430","366,923,343",25.0573268,121.5238351
2705,六福,16,新竹縣關西鎮仁安里拱子溝六十號,施丁文,"$1,913,128,300","191,312,830",24.808257,121.18405
2706,第一店,16,台北市南京東路二段六十三號,顧安生,"$4,999,983,460","499,998,346",25.0329636,121.5654268
2707,晶華,16,台北市中山北路2段39巷3號1-20樓,王文蘊,"$1,274,032,380","127,403,238",25.0541575,121.5242879
2712,遠雄來,16,974花蓮縣壽豐鄉鹽寮村山嶺18號,李翰林,"$1,050,000,000","105,000,000",23.9782301,121.5980424
2722,夏都,16,屏東縣恆春鎮網紗里環城北路218巷15號,陳重憲,"$1,431,696,960","143,169,696",22.009687,120.7453454
2723,美食-KY,16,台中市南屯區工業23路35號,李翰霖,"$1,800,000,000","180,000,000",24.1471183,120.6084832
2727,王品,16,臺中市西區臺灣大道二段218號29樓,朱文敏,"$844,511,090","84,451,109",24.1521315,120.6690084
2731,雄獅,16,台北市內湖區石潭路151號9樓,賴一青,"$932,777,390","93,277,739",25.0640249,121.5891239
2739,寒舍,16,台北市中正區忠孝東路一段12號,閔桂鈴,"$915,260,000","91,526,000",25.0445802,121.5224401
2748,雲品,16,台北市中山區中山北路二段96號8樓,曾景宏,"$1,057,787,400","105,778,740",25.0594999,121.5225228
2753,八方雲集,16,新北市淡水區中正東路二段27號18樓,林欣怡,"$666,447,960","66,644,796",25.157273,121.4597656
2762,世界健身-KY,37,台中市西屯區市政路402號36樓,柯約翰,"$1,125,000,000","112,500,000",24.1591048,120.6395963
2801,彰銀,17,臺中市自由路二段三八號,鄧秀娟,"$118,000,000,000","11,766,046,253",24.1404828,120.682574
2812,台中銀,17,台中市民權路87號,鄭榮國,"$60,216,259,210","6,021,625,921",24.1375701,120.680032
2816,旺旺保,17,台北巿大安區忠孝東路四段219號12樓,潘少昀,"$2,236,080,000","223,608,000",25.0417101,121.552573
2820,華票,17,台北市內湖區堤頂大道二段99號4樓,劉立凡,"$13,429,600,000","1,342,960,000",25.0768435,121.5713391
2832,台產,17,臺北市館前路49號8樓,黃志傑,"$2,535,402,800","253,540,280",25.0448871,121.515147
2834,臺企銀,17,台北市塔城街三十號,乙增祥,"$97,180,618,490","9,718,061,849",25.0506553,121.5105204
2836,高雄銀,17,高雄市左營區博愛二路168號,張榮泰,"$18,799,169,850","1,839,916,985",22.6594219,120.3034124
2838,聯邦銀,17,台北市松山區民生東路三段109號1、2樓,楊巨昌,"$45,405,517,790","4,340,551,779",25.0580756,121.5452225
2845,遠東銀,17,"台北市敦化南路二段207號26, 27樓",林建忠,"$48,652,847,310","4,865,284,731",25.0260072,121.5493964
2849,安泰銀,17,臺北市信義區信義路五段7號16樓、40樓及41樓,張人偉,"$19,576,093,490","1,957,609,349",25.033976,121.5645389
2850,新產,17,台北市建國北路二段十三號十一樓,蔡世賢,"$3,159,633,000","315,963,300",25.0572323,121.5371373
2851,中再保,17,台北市南京東路二段53號12樓,鍾志宏,"$8,003,887,500","800,388,750",25.0522951,121.5297099
2852,第一保,17,台北市中正區忠孝東路一段五十四號,吳東穎,"$3,011,637,840","301,163,784",25.0421407,121.5198716
2855,統一證,17,台北市東興路8號1樓,安芝立,"$16,014,144,780","1,601,414,478",25.0502151,121.5648409
2867,三商壽,17,台北市內湖區石潭路58號1樓,陳宏昇(暫代),"$58,995,010,440","5,899,501,044",25.0623038,121.5867404
2880,華南金,17,台北市信義區松仁路123號,陳伯壎,"$139,000,000,000","13,916,965,089",25.0342819,121.5692094
2881,富邦金,17,臺北市中山區遼寧街179號15樓、16樓,韓蔚廷,"$156,000,000,000","14,007,364,952",25.0530555,121.5424725
2882,國泰金,17,台北市仁愛路四段296號,陳晏如,"$162,000,000,000","14,669,210,128",25.0374079,121.5536523
2883,凱基金,17,台北市松山區敦化北路135號8、12、13及18樓,黃碧玲,"$186,000,000,000","16,974,847,040",25.0529739,121.5497677
2884,玉山金,17,臺北市松山區民生東路三段117號14樓及115號1樓,林俊佑,"$162,000,000,000","16,174,000,000",25.0580749,121.5464339
2885,元大金,17,臺北市大安區仁愛路三段157號6樓、8樓、10樓、13樓、16樓至20樓,黃維誠,"$133,000,000,000","13,331,149,946",25.0383911,121.5432647
2886,兆豐金,17,台北市忠孝東路二段123號14至17樓、20至21樓,丁涵茵,"$148,000,000,000","14,833,378,282",25.0428707,121.5325115
2887,台新新光金,17,台北市大安區仁愛路4段118號12、13、15、16、21、22及23樓,林維俊,"$294,000,000,000","24,866,399,230",25.0374919,121.54996
2889,國票金,17,台北市樂群三路128號17樓,李憲宗,"$36,335,634,710","3,633,563,471",25.0824791,121.554909
2890,永豐金,17,台北市中山區八德路2段306號3樓、5至13樓及308號6樓之1、6樓之2,許如玫,"$145,000,000,000","14,492,322,275",25.0470921,121.5425268
2891,中信金,17,臺北市南港區經貿二路168號27樓、29樓,高麗雪,"$202,000,000,000","19,677,816,903",25.0585084,121.6159507
2892,第一金,17,台北市重慶南路一段30號,李淑玲,"$144,000,000,000","14,379,468,650",25.0455659,121.5130548
2897,王道銀行,17,(114)台北市內湖區堤頂大道二段九十九號,張倫瑋,"$30,553,578,780","2,805,357,878",25.0784036,121.5654932
2901,欣欣,18,台北市林森北路247號,林再生,"$730,432,830","73,043,283",25.0541282,121.525751
2903,遠百,18,新北市板橋區新站路16號18樓,劉儀婷,"$14,169,405,890","1,416,940,589",25.013132,121.4670082
2904,匯僑,20,台北市民生東路三段一三一號五樓,梁世詮,"$778,344,320","77,834,432",25.0614801,121.5351375
2905,三商,18,台北市建國北路二段145號地下1樓及1~18樓,王志華,"$11,103,717,030","1,110,371,703",25.0612581,121.5373819
2906,高林,18,新北市汐止區新台五路一段95號21樓之8,王培煜,"$2,091,166,480","209,116,648",25.0620111,121.6484167
2908,特力,18,台北市內湖區新湖三路23號6樓,林素玲,"$5,098,875,580","509,887,558",25.0619908,121.5742691
2910,統領,18,台北市大安區忠孝東路四段197號10樓之6,陳文隆,"$1,754,030,000","175,403,000",25.0416934,121.5515151
2911,麗嬰房,18,台北市內湖區陽光街321巷60號,尤淑儀,"$1,051,259,990","105,125,999",25.0716856,121.5770464
2912,統一超,18,台北市東興路65號2樓,吳玟琪,"$10,396,222,550","1,039,622,255",25.0468659,121.5666547
2913,農林,18,新竹縣湖口鄉中華路3號,高力川,"$7,900,000,000","790,000,000",24.8643146,121.0041019
2915,潤泰全,18,台北市八德路二段三０八號十三樓之一,李天傑,"$11,043,187,720","1,104,318,772",25.0468868,121.5411462
2923,鼎固-KY,14,臺北市信義區基隆路一段420號10樓(臺北聯絡處),張能耀,"$17,402,969,820","1,740,296,982",25.0340484,121.5598114
2929,淘帝-KY,18,台北市內湖區新湖一路97號2樓,陳建瑋,"$1,094,938,380","109,493,838",25.0584745,121.5763023
2939,永邑-KY,18,新北市中和區建八路216號13樓,王碩偉,"$455,486,650","45,548,665",24.9984157,121.4914779
2945,三商家購,18,台北市中山區民權東路三段４號地下一層,邱光隆,"$675,000,000","67,500,000",25.06207,121.5388147
3002,歐格,25,台北市內湖區內湖路一段88號5樓,林瑞峰,"$1,020,000,000","102,000,000",25.0833496,121.5627759
3003,健和興,28,彰化縣線西鄉彰濱東三路8號,曾玉卿,"$1,556,548,900","155,654,890",24.1325216,120.4309918
3004,豐達科,10,桃園市平鎮區太平東路5號,李文正,"$559,054,550","55,905,455",24.9038169,121.2510146
3005,神基,25,臺北市南港區南港路一段209號5樓,黃明漢,"$6,224,786,500","622,478,650",25.0545407,121.6115636
3006,晶豪科,24,新竹科學園區新竹市工業東四路23號,吳鴻基,"$2,861,722,380","286,172,238",24.7746018,121.0090948
3008,大立光,26,台中市南屯區精科路11號,林恩平,"$1,334,681,970","133,468,197",24.1473185,120.60424
3010,華立,29,高雄市前金區中正四路235號10樓,黃露慧,"$2,594,368,170","259,436,817",22.6280209,120.2925603
3011,今皓,28,新北市新店區寶興路53號,林盟傑,"$1,296,468,510","129,646,851",24.9729851,121.5495443
3013,晟銘電,25,台北市內湖區民權東路六段27號2~6F,莊家熒,"$2,051,389,300","205,138,930",25.06892,121.5838205
3014,聯陽,24,新竹縣新竹科學園區創新一路13號3樓,林秀哲,"$1,660,201,240","166,020,124",24.7758001,120.9971998
3015,全漢,28,桃園市桃園區建國東路22號,姚文鈞,"$1,872,619,500","187,261,950",24.9858134,121.320584
3016,嘉晶,24,新竹市科學工業園區篤行一路10號,范桂榮,"$2,885,418,190","288,541,819",24.7729517,121.0236773
3017,奇鋐,25,高雄市前鎮區新生路248之27號,陳易成,"$3,907,127,570","390,712,757",22.5774721,120.3198794
3018,隆銘綠能,31,臺北市中山區明水路602號3樓,林欣怡,"$753,777,150","75,377,715",25.0815846,121.5518212
3019,亞光,26,台中市潭子區南二路22-3號,張士駿,"$2,792,439,010","279,243,901",24.2175289,120.7014436
3021,鴻名,28,台北市東興路59號6樓,黃小菁,"$948,900,000","94,890,000",25.0474544,121.5667523
3022,威強電,25,新北市汐止區中興路29號,魏諦斯,"$1,765,977,900","176,597,790",25.0615323,121.6349501
3023,信邦,28,苗栗市國華路582號,張集州,"$2,400,690,140","240,069,014",24.5752378,120.8179792
