broker_id,broker_group,branch_name,city,broker_name,source,note,broker_org_type,seat_type,is_proprietary,id_quality,broker_category_ids
,元大,自營,台北市,元大-自營,wantgoo,from wantgoo branch dropdown,local,branch,Y,platform,"BR01,SE02,SE04,ID02"
,元大,屏東民,屏東縣,元大-屏東民,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,高福,台北市,元大-高福,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,敦信,台北市,元大-敦信,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,土城學,新北市,元大-土城學,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,府中,新北市,元大-府中,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,南永康,台南市,元大-南永康,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,忠鼎,台北市,元大-忠鼎,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,員林中,彰化縣,元大-員林中,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,重慶,台北市,元大-重慶,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,劍潭,台北市,元大-劍潭,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,新竹東門,新竹市,元大-新竹東門,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,德芳,台中市,元大-德芳,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,東高雄,高雄市,元大-東高雄,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,松南,台北市,元大-松南,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,新店,台北市,元大-新店,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,延平,台北市,元大-延平,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,文心興,台北市,元大-文心興,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,大嘉義,嘉義市,元大-大嘉義,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,新竹經,新竹市,元大-新竹經,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,長安,台北市,元大-長安,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,長榮,台北市,元大-長榮,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,樹板,台北市,元大-樹板,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,內湖民,台北市,元大-內湖民,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,高雄七賢,高雄市,元大-高雄七賢,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,中山,台北市,元大-中山,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,基隆孝,基隆市,元大-基隆孝,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,土城永,新北市,元大-土城永,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,高雄前金,高雄市,元大-高雄前金,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,金天母,台北市,元大-金天母,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,板橋三,新北市,元大-板橋三,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,新壢,台北市,元大-新壢,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,頭份中華,台北市,元大-頭份中華,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,公館,台北市,元大-公館,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,總公司,台北市,元大-總公司,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,城中,台北市,元大-城中,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,台中港,台中市,元大-台中港,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,西湖,台北市,元大-西湖,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,蘆洲中,台北市,元大-蘆洲中,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,民生三,台北市,元大-民生三,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
